Ano,Mês,Código do Produto,Código de Barras,Descrição do Produto,Quantidade,Valor Bruto,Valor Desconto,Valor Líquido,Valor Vale Troca
2023.0,04/2023,7895155240424.0,7895155240424.0,Separador Organizador Plast Vd Menta,1.0,"25,00","0,00","25,00","0,00"
2023.0,04/2023,7896359029099.0,7896359029099.0,"Pote Com Travas Plast Sanremo 1,6L SR1742",1.0,"24,75","0,00","24,75","0,00"
2023.0,04/2023,7897291815023.0,7897291815023.0,Porta Talheres Giplas Sort Ta-01,16.0,"140,00","0,00","140,00","0,00"
2023.0,04/2023,7897698210636.0,7897698210636.0,Caixa Organizadora 10l Ret M C/ Abas,2.0,"107,00","0,00","107,00","0,00"
2023.0,04/2023,7896359014798.0,7896359014798.0,Porta Escova de Dentes Sanremo Plástico 687,2.0,"15,00","0,00","15,00","0,00"
2023.0,04/2023,7896359010257.0,7896359010257.0,Saladeira Plástica Diâmetro 280mm 4.310l - Sanremo,4.0,"65,00","0,00","65,00","0,00"
2023.0,04/2023,7899014646099.0,7899014646099.0,Banheira 28l Cajovil Alegria Az Bebe,1.0,"84,50","0,00","84,50","0,00"
2023.0,04/2023,7895155249885.0,7895155249885.0,Porta Papel Toalha Plast Pt,3.0,"44,25","0,00","44,25","0,00"
2023.0,04/2023,7896359029150.0,7896359029150.0,Pote 770ml Sanremo C/ Travas,4.0,"67,00","0,00","67,00","0,00"
2023.0,04/2023,7896359039777.0,7896359039777.0,Pulverizador Plastico Sanremo 480ml SR1601/10,1.0,"16,25","0,00","16,25","0,00"
2023.0,04/2023,7908439803298.0,7908439803298.0,Escorredor Louca Arqplast Pt,5.0,"55,25","0,00","55,25","0,00"
2023.0,04/2023,7898121651026.0,7898121651026.0,Cesta Rattan 7.5l Az Cl,1.0,"35,25","0,00","35,25","0,00"
2023.0,04/2023,7908439800037.0,7908439800037.0,Bacia 40l Arqplast,5.0,"183,75","0,00","183,75","0,00"
2023.0,04/2023,7896042086491.0,7896042086491.0,Caixa 14l Trama C/ Tpa B3,3.0,"202,50","0,00","202,50","0,00"
2023.0,04/2023,7895155354732.0,7895155354732.0,Cremeira Uz Plast 00l 300ml Vm,36.0,"135,00","5,62","129,38","0,00"
2023.0,04/2023,7895155353803.0,7895155353803.0,Saladeira Plast 3l Br,1.0,"29,25","0,00","29,25","0,00"
2023.0,04/2023,7896952506157.0,7896952506157.0,Forma Gelo Jaguar,20.0,"90,00","0,00","90,00","0,00"
2023.0,04/2023,7897291800104.0,7897291800104.0,Pote 1l Giplas Red Alto Sort Pm-10,3.0,"12,75","0,00","12,75","0,00"
2023.0,04/2023,7897291811735.0,7897291811735.0,Copo Plast Giplas 330ml Cp-330,33.0,"49,50","0,00","49,50","0,00"
2023.0,04/2023,7895155292614.0,7895155292614.0,Organizador Conecta 900ml Trans Plast C/ Tampa Rs,6.0,"61,50","0,00","61,50","0,00"
2023.0,04/2023,7897291813333.0,7897291813333.0,Pote Plast Giplas 3.8l Versatil,4.0,"34,00","0,00","34,00","0,00"
2023.0,04/2023,7909875091225.0,7909875091225.0,Organizador De Frios Trans C/ Tampa Trans Plast,1.0,"27,25","0,00","27,25","0,00"
2023.0,04/2023,7897386714958.0,7897386714958.0,Acucareiro Break Rs Ou,1.0,"28,00","0,00","28,00","0,00"
2023.0,04/2023,7896042001302.0,7896042001302.0,Lava Tudo Plasutil Pegador A3,5.0,"55,00","0,00","55,00","0,00"
2023.0,04/2023,7896952515623.0,7896952515623.0,Bandeja Multi-Uso,10.0,"182,50","0,00","182,50","0,00"
2023.0,04/2023,7897386719991.0,7897386719991.0,Dispenser P/Sacolas Br Ou,2.0,"72,50","0,00","72,50","0,00"
2023.0,04/2023,7899658373597.0,7899658373597.0,Cesta Organize 35x12x5cm Br,1.0,"27,75","0,00","27,75","0,00"
2023.0,04/2023,7896359005512.0,7896359005512.0,Porta Talheres Plástico Sem Tampa - Sanremo,2.0,"48,00","0,00","48,00","0,00"
2023.0,04/2023,7897698212142.0,7897698212142.0,Organizador 3 And Quadrada Silverblack,1.0,"67,00","0,00","67,00","0,00"
2023.0,04/2023,7909875082506.0,7909875082506.0,Organizador Conecta 600ml Trans Plast C/ Tampa Cap,4.0,"35,00","0,00","35,00","0,00"
2023.0,04/2023,7896359017980.0,7896359017980.0,Cj Xicara Medidora Sanremo,7.0,"143,50","39,20","104,30","0,00"
2023.0,04/2023,7896952506522.0,7896952506522.0,Cj 2 Potes Jaguar Curitiba,2.0,"24,50","0,00","24,50","0,00"
2023.0,04/2023,7896359002153.0,7896359002153.0,Organizador Plastico Sanremo 4.3l 955/4,1.0,"29,75","0,00","29,75","0,00"
2023.0,04/2023,7898943596956.0,7898943596956.0,Cesto Organizador Br 17x12x6cm Linea,1.0,"13,75","0,00","13,75","0,00"
2023.0,04/2023,7899808880401.0,7899808880401.0,Pote 01l 100ml Plasutil Flip Transp 013554,1.0,"22,25","0,00","22,25","0,00"
2023.0,04/2023,7895155003265.0,7895155003265.0,Balde 1l Plast Vm C/ Alca Pt ,1.0,"32,00","0,00","32,00","0,00"
2023.0,04/2023,7899014634942.0,7899014634942.0,Banheira 20l Cajovil Az Bebe,2.0,"58,50","0,00","58,50","0,00"
2023.0,04/2023,7896359013296.0,7896359013296.0,Pote Retang Plast 1.4l Sanremo,13.0,"120,25","0,00","120,25","0,00"
2023.0,04/2023,7891115041728.0,7891115041728.0,Saboneteira Infantil Plasvale,2.0,"12,00","0,00","12,00","0,00"
2023.0,04/2023,7897291829907.0,7897291829907.0,Lixeira 4l Giplas Red Br Li-04,6.0,"49,50","0,33","49,17","0,00"
2023.0,04/2023,7896456024485.0,7896456024485.0,Porta Saco de Leite Iogurte Menta ,7.0,"49,00","0,00","49,00","0,00"
2023.0,04/2023,7891112325722.0,7891112325722.0,Pote 4l Tramontina Mixcolor,4.0,"134,50","0,00","134,50","0,00"
2023.0,04/2023,7896359043071.0,7896359043071.0,Pote Sanremo Plast SR10/45,273.0,"1.228,50","0,00","1.228,50","6,45"
2023.0,04/2023,7908342103171.0,7908342103171.0,Squeeze Plast Cristal 500ml Tpa Pt,2.0,"18,50","0,00","18,50","0,00"
2023.0,04/2023,7896020696872.0,7896020696872.0,Banqueta Bela Vista Branca - Mor,2.0,"71,50","0,00","71,50","0,00"
2023.0,04/2023,7891115083407.0,7891115083407.0,Sanduicheira Decor Rosa Plasvale,2.0,"16,00","0,00","16,00","0,00"
2023.0,04/2023,7896359010417.0,7896359010417.0,Bacia Plast Sanremo 275mm Diam 601,15.0,"228,75","74,90","153,85","0,00"
2023.0,04/2023,7896359040933.0,7896359040933.0,Cj 3 Potes 00l 530ml Sanremo Ultraprotect,1.0,"26,50","0,00","26,50","0,00"
2023.0,04/2023,7897291815207.0,7897291815207.0,"Caixa Versatil Giplas 8,5L  Cv-85",10.0,"170,00","0,00","170,00","0,00"
2023.0,04/2023,7896359029143.0,7896359029143.0,Pote 1.4l Sanremo C/ Travas Plast SR1760,1.0,"19,75","0,00","19,75","0,00"
2023.0,04/2023,7895155242558.0,7895155242558.0,Porta Detergente Uz Vm,7.0,"115,50","0,00","115,50","0,00"
2023.0,04/2023,7896553989502.0,7896553989502.0,Aucareiro Due 300ml Casual Rs,1.0,"25,50","0,00","25,50","0,00"
2023.0,04/2023,7898943564313.0,7898943564313.0,Organizador Diamond 25x20x8cm Cristal,5.0,"280,00","0,00","280,00","0,00"
2023.0,04/2023,7899014661177.0,7899014661177.0,Cabide Cajovil Inf Urso 2 Pcs Lfof Az Cl,1.0,"9,75","0,00","9,75","0,00"
2023.0,04/2023,7898121651989.0,7898121651989.0,Pote 3 Div,3.0,"27,75","0,00","27,75","0,00"
2023.0,04/2023,7909875082575.0,7909875082575.0,Cj Organizador Conecta Plast Translucido Capuccino,4.0,"153,00","0,00","153,00","0,00"
