"","Filtros"
"Cancelada","Não"
"Operação","S - Venda"

"Documento","Código Produto","Cancelada","Operação","Valor item NF","Valor Total Item","Desconto Item","Plano de Pagamento","Qtde Item","Descrição Produto","Linha Produto","Setor Produto","Aprovador Desconto"
"","","","","529.891,90","529.436,52","707,32","","43.325,18","","","",""
"121","21696","Não","S - Venda","71,00","71,00","0,00","CF COMPRAS 10X","2,00","Porta Retrato 13x18cm Vidro V-","Moveis e Decoração","Moveis e Decoração","(blank)"
"121","21694","Não","S - Venda","75,00","75,00","0,00","CF COMPRAS 10X","3,00","Porta Retrato 9x13cm Vidro V-","Moveis e Decoração","Moveis e Decoração","(blank)"
"121","21467","Não","S - Venda","166,00","166,00","0,00","CF COMPRAS 10X","1,00","Pantufa Europa Ad 34 35 A 38 39 Unicornio Fashion Lg","Bazar","Bazar","(blank)"
"121","28998","Não","S - Venda","1,50","1,50","0,00","CF COMPRAS 10X","1,00","Pasta L A/4 Alaplast Fume/Transp","Acessorios Escolares","Escolar/escritorio","(blank)"
"21290","9794552","Não","S - Venda","3,25","3,25","0,00","CF COMPRAS 01X","1,00","Chocolate Snickers Pe de Moleque 45g","Caixas","Caixas","(blank)"
"21299","2231","Não","S - Venda","155,25","155,25","0,00","CF COMPRAS 03X","1,00","Cuia Termolar Inox Tupi 250ml Pt","Chimarrao","Utilidades Domesticas","(blank)"
"21299","2156","Não","S - Venda","67,25","67,25","0,00","CF COMPRAS 03X","1,00","Garrafa Term 1L Termolar Magic Pump Lisa Pt","Chimarrao","Utilidades Domesticas","(blank)"
"21299","3834","Não","S - Venda","77,50","77,50","0,00","CF COMPRAS 03X","1,00","Bomba Chimarrão Tramontina Lisa C/ Bocal Inox","Chimarrao","Utilidades Domesticas","(blank)"
"21397","399302","Não","S - Venda","87,00","87,00","0,00","NF PRAZO 01X","116,00","Ponteira Cadeira 20x40 Int","Acessorios de Ferragem","Ferragem","(blank)"
"21397","9789870","Não","S - Venda","2.550,00","2.550,00","0,00","NF PRAZO 01X","150,00","Xicara 90ml Com Pires Cafe Astral","Loucas de Mesa","Utilidades Domesticas","(blank)"
"21397","20963","Não","S - Venda","772,50","772,50","0,00","NF PRAZO 01X","3,00","Vaso Tramontina Thai 58cm Bg","Vasos e Cachepos","Jardinagem/flores","(blank)"
"21397","20962","Não","S - Venda","257,50","257,50","0,00","NF PRAZO 01X","1,00","Vaso Tramontina Thai 58cm Mr","Vasos e Cachepos","Jardinagem/flores","(blank)"
